domain,variable,n,mean,ci_lower,ci_upper,source
bbc.co.uk,QUOTE: Mentions,32,1.3833331642025133,1.2065786542052492,1.5570131517958277,QUOTE
bbc.co.uk,QUOTE: Mentions Agent Type: Narratedorganization,32,0.0861097540832994,0.0451729147244752,0.1355140269703388,QUOTE
bbc.co.uk,QUOTE: Mentions Agent Type: Narratedpolitician,32,0.3465466437228405,0.2401481269994507,0.4608977755847436,QUOTE
bbc.co.uk,QUOTE: Mentions Agent Type: Narratedstate,32,0.5643130054688901,0.4263118900905073,0.7070916364392863,QUOTE
bbc.co.uk,QUOTE: Quote Status: Interpretivestatement,32,0.3544130820111356,0.2494065798604931,0.463874564938825,QUOTE
bbc.co.uk,QUOTE: Quote Status: Personalopinion,32,0.1926005250104498,0.1237369201961651,0.2756892884136978,QUOTE
bbc.co.uk,QUOTE: Quote Status: Reportedstatement,32,0.2969161029011375,0.2251680254076138,0.3736466247201123,QUOTE
bbc.co.uk,QUOTE: Quote Type: Directquote,32,0.3264306905962282,0.257684490999926,0.4001373188374272,QUOTE
bbc.co.uk,QUOTE: Quotes,32,1.23857265796716,1.1771775063982228,1.300931743125313,QUOTE
bbc.co.uk,QUOTE: Unique Agent Types,32,0.3286654312486908,0.2803462589141067,0.3807231061205738,QUOTE
bbc.co.uk,QUOTE: Unique Agents,32,0.8438787204536846,0.7352574002509956,0.9556226347339118,QUOTE
kyivpost.com,QUOTE: Mentions,58,1.520079697667906,1.358963520580667,1.6821933430220837,QUOTE
kyivpost.com,QUOTE: Mentions Agent Type: Narratedorganization,58,0.1474811663165725,0.0987603907589628,0.2008659707558434,QUOTE
kyivpost.com,QUOTE: Mentions Agent Type: Narratedpolitician,58,0.1328105048279597,0.0885950852701146,0.1818539225122676,QUOTE
kyivpost.com,QUOTE: Mentions Agent Type: Narratedstate,58,0.6171011754576397,0.4979956887701162,0.7370228489823876,QUOTE
kyivpost.com,QUOTE: Quote Status: Interpretivestatement,58,0.2833808164096676,0.2284999562374922,0.3441449186396708,QUOTE
kyivpost.com,QUOTE: Quote Status: Personalopinion,58,0.0755006371485767,0.0441397404761975,0.1142923038082073,QUOTE
kyivpost.com,QUOTE: Quote Status: Reportedstatement,58,0.5073894386694643,0.437679006120743,0.5774377936871765,QUOTE
kyivpost.com,QUOTE: Quote Type: Directquote,58,0.3913925779657871,0.3281351122143932,0.4580372583327937,QUOTE
kyivpost.com,QUOTE: Quotes,58,1.225149303562883,1.145182289132777,1.300839175464806,QUOTE
kyivpost.com,QUOTE: Unique Agent Types,58,0.5140418202190915,0.4648397053508748,0.5657044819882442,QUOTE
kyivpost.com,QUOTE: Unique Agents,58,1.1283856207757936,1.0434081759499116,1.2186791102274148,QUOTE
sputnikglobe.com,QUOTE: Mentions,53,2.018026194732632,1.7938082147304544,2.260441694358176,QUOTE
sputnikglobe.com,QUOTE: Mentions Agent Type: Narratedorganization,53,0.2669952950613328,0.1817238251790138,0.3589677519807235,QUOTE
sputnikglobe.com,QUOTE: Mentions Agent Type: Narratedpolitician,53,0.3631194092625834,0.2613809755881065,0.4741704636235017,QUOTE
sputnikglobe.com,QUOTE: Mentions Agent Type: Narratedstate,53,0.781606519328495,0.6380341168881679,0.935689653483771,QUOTE
sputnikglobe.com,QUOTE: Quote Status: Interpretivestatement,53,0.5400539696460895,0.4157210216408329,0.6752841722573272,QUOTE
sputnikglobe.com,QUOTE: Quote Status: Personalopinion,53,0.2640816360849656,0.1909680803919844,0.3442720670315009,QUOTE
sputnikglobe.com,QUOTE: Quote Status: Reportedstatement,53,0.241628703643132,0.1853212424907069,0.2996810500819934,QUOTE
sputnikglobe.com,QUOTE: Quote Type: Directquote,53,0.6466386831814134,0.4865837924484568,0.8471289495973875,QUOTE
sputnikglobe.com,QUOTE: Quotes,53,1.5013077485469273,1.3668490556490005,1.6615543612109924,QUOTE
sputnikglobe.com,QUOTE: Unique Agent Types,53,0.681140409719766,0.5948545118942593,0.7753779837516656,QUOTE
sputnikglobe.com,QUOTE: Unique Agents,53,1.3916268787939154,1.2373568707236158,1.5612049226054496,QUOTE
