domain,metric,mean,median,std,min,max,count
kyivpost.com,MereExposureEffect,0.05172413793103448,0.0,0.29154240720110036,0.0,2.0,58
kyivpost.com,MereExposureEffect_per_100,0.014343171467439521,0.0,0.07690035244153474,0.0,0.45454545454545453,58
kyivpost.com,NegativityBias,5.844827586206897,6.0,3.221646762835555,0.0,12.0,58
kyivpost.com,NegativityBias_per_100,1.4694929428663266,1.4374741771105908,0.777820589097304,0.0,3.1746031746031744,58
kyivpost.com,OmissionBias,0.5344827586206896,0.0,1.1272621271054448,0.0,5.0,58
kyivpost.com,OmissionBias_per_100,0.1161898021835369,0.0,0.2344752182761736,0.0,0.8976660682226212,58
kyivpost.com,PrimacyEffect,0.39655172413793105,0.0,1.0249459578806692,0.0,4.0,58
kyivpost.com,PrimacyEffect_per_100,0.1114707025295562,0.0,0.2846960061362185,0.0,1.1320754716981132,58
kyivpost.com,RecencyEffect,0.13793103448275862,0.0,0.5112171874107662,0.0,3.0,58
kyivpost.com,RecencyEffect_per_100,0.03527941002938966,0.0,0.1255482525765738,0.0,0.7177033492822966,58
kyivpost.com,StatusQuoBias,0.05172413793103448,0.0,0.22340379562211246,0.0,1.0,58
kyivpost.com,StatusQuoBias_per_100,0.0164658100811888,0.0,0.07265699192003797,0.0,0.373134328358209,58
kyivpost.com,VonRestorffEffect,4.310344827586207,4.0,2.6570455598423677,0.0,13.0,58
kyivpost.com,VonRestorffEffect_per_100,1.021085076035284,0.9356737945676202,0.5402681660450905,0.0,2.4523160762942777,58
kyivpost.com,WeberFechnerLaw,0.10344827586206896,0.0,0.4056467728149958,0.0,2.0,58
kyivpost.com,WeberFechnerLaw_per_100,0.027747578830882406,0.0,0.1084355500789636,0.0,0.5494505494505495,58
kyivpost.com,overall_per_100,3.7247882640451393,3.3914414048759367,1.8831658637206938,1.0169491525423728,9.809264305177111,58
kyivpost.com,overall_total,15.224137931034482,13.0,8.404349549433455,3.0,36.0,58
sputnikglobe.com,AnchoringBias,2.1132075471698113,2.0,2.0443202496230546,0.0,8.0,53
sputnikglobe.com,AnchoringBias_per_100,0.7116996135108373,0.5494505494505495,0.7101547826322699,0.0,3.0651340996168583,53
sputnikglobe.com,BizarrenessEffect,1.0566037735849056,1.0,1.277243039633874,0.0,5.0,53
sputnikglobe.com,BizarrenessEffect_per_100,0.35084409219286805,0.1841620626151013,0.47179763342459446,0.0,2.05761316872428,53
sputnikglobe.com,ContrastEffect,2.5283018867924527,2.0,1.7052382371895414,0.0,9.0,53
sputnikglobe.com,ContrastEffect_per_100,0.8322189050432903,0.8021390374331551,0.5383467256586337,0.0,2.54957507082153,53
sputnikglobe.com,DistinctionBias,0.5283018867924528,0.0,0.7233409023122569,0.0,3.0,53
sputnikglobe.com,DistinctionBias_per_100,0.17594208233052105,0.0,0.272262351792178,0.0,1.3888888888888888,53
sputnikglobe.com,FadingAffectBias,0.018867924528301886,0.0,0.137360563948689,0.0,1.0,53
sputnikglobe.com,FadingAffectBias_per_100,0.010036130068245684,0.0,0.07306412975994098,0.0,0.5319148936170213,53
sputnikglobe.com,FalseConsensusEffect,0.7735849056603774,0.0,1.2502539654923386,0.0,6.0,53
sputnikglobe.com,FalseConsensusEffect_per_100,0.242844860503327,0.0,0.3693335191754817,0.0,1.6483516483516483,53
sputnikglobe.com,HindsightBias,0.6792452830188679,0.0,1.0335447760323984,0.0,4.0,53
sputnikglobe.com,HindsightBias_per_100,0.2377369003535923,0.0,0.37537448764686826,0.0,1.3888888888888888,53
sputnikglobe.com,ImplicitStereotype,1.2264150943396226,1.0,1.4229102008797951,0.0,5.0,53
sputnikglobe.com,ImplicitStereotype_per_100,0.4463780521073715,0.22988505747126436,0.5473642765741681,0.0,1.7964071856287425,53
sputnikglobe.com,InformationOverload,0.3018867924528302,0.0,1.153338059393378,0.0,8.0,53
sputnikglobe.com,InformationOverload_per_100,0.09937601251548017,0.0,0.4309713552217867,0.0,3.0651340996168583,53
sputnikglobe.com,MereExposureEffect,0.41509433962264153,0.0,0.7450854949433898,0.0,3.0,53
sputnikglobe.com,MereExposureEffect_per_100,0.14198632992835175,0.0,0.2712018843253746,0.0,1.3888888888888888,53
sputnikglobe.com,NegativityBias,5.584905660377358,5.0,2.6561536843290967,0.0,13.0,53
sputnikglobe.com,NegativityBias_per_100,1.8784465495657665,1.7777777777777777,1.0291366360050775,0.0,5.2631578947368425,53
sputnikglobe.com,OmissionBias,1.471698113207547,1.0,1.5517208014244361,0.0,6.0,53
sputnikglobe.com,OmissionBias_per_100,0.5125672559200952,0.36496350364963503,0.5362753692689518,0.0,1.7751479289940828,53
sputnikglobe.com,PrimacyEffect,2.7358490566037736,3.0,2.1851856407340424,0.0,8.0,53
sputnikglobe.com,PrimacyEffect_per_100,0.9434895147382857,0.9009009009009009,0.7896804502908508,0.0,3.4722222222222223,53
sputnikglobe.com,RecencyEffect,1.0,0.0,1.3008872711759818,0.0,4.0,53
sputnikglobe.com,RecencyEffect_per_100,0.33589751851050526,0.0,0.4234831548479346,0.0,1.3574660633484164,53
sputnikglobe.com,StatusQuoBias,0.6792452830188679,0.0,1.0335447760323984,0.0,4.0,53
sputnikglobe.com,StatusQuoBias_per_100,0.23636885946552677,0.0,0.3709643134755932,0.0,1.2987012987012987,53
sputnikglobe.com,VonRestorffEffect,3.7358490566037736,4.0,2.1044910164494413,0.0,11.0,53
sputnikglobe.com,VonRestorffEffect_per_100,1.205557517136628,1.2345679012345678,0.6106945202292505,0.0,2.7777777777777777,53
sputnikglobe.com,WeberFechnerLaw,0.24528301886792453,0.0,0.704536409971356,0.0,4.0,53
sputnikglobe.com,WeberFechnerLaw_per_100,0.09322114907563935,0.0,0.2720147830273788,0.0,1.5325670498084292,53
sputnikglobe.com,overall_per_100,8.45461134296633,8.241758241758241,4.422889928390828,1.1737089201877935,24.305555555555557,53
sputnikglobe.com,overall_total,25.09433962264151,25.0,11.351489483667901,4.0,58.0,53
